matchsource,matchseq,matchid,mapid,time,p_date,bnetid,heroid,teamid,eventtype,roletype,pos_x,pos_y,pos_z,amount
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2795258,20160327,50706910,207165582859042819,1,damage,giver,34.607421875,59.6083984375,-163.916015625,3.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2859909,20160327,111109783,207165582859042938,0,damage,giver,35.3408203125,57.4853515625,-153.3701171875,11.952059745788574
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2880822,20160327,79177,207165582859042938,1,damage,giver,21.3251953125,60.1396484375,-164.9609375,2.4430856704711914
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3016041,20160327,52169656,207165582859042920,0,damage,giver,39.7470703125,60.0966796875,-152.91796875,0.960000216960907
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3067606,20160327,51730318,207165582859042926,1,damage,giver,21.125,58.271484375,-161.427734375,34.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3142809,20160327,51730318,207165582859042926,1,damage,giver,23.904296875,58.0322265625,-164.505859375,17.0
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3241829,20160327,55382056,207165582859042938,0,damage,giver,8.81640625,60.365234375,-163.322265625,5.183337211608887
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,3252301,20160327,70516858,207165582859042825,0,damage,giver,39.072265625,59.677734375,-152.8017578125,1.9200000762939453
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2493708,20160327,111109783,207165582859042938,0,damage,giver,36.45703125,58.06640625,-152.908203125,8.043869018554688
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2819166,20160327,56472522,207165582859042825,1,damage,giver,33.8896484375,57.365234375,-158.3203125,1.9200000762939453
134726424521015543,8890167282009964556,134726424521015543|8890167282009964556,576460752303425133,2957528,20160327,55382056,207165582859042926,0,damage,giver,35.5693359375,57.4443359375,-156.646484375,48.518104553222656
